school_year,division_number,division_name,school_number,school_name,ft_count,pt_count,total_count
2021-2022,136,Chesapeake City,720,G.A. Treakle Elementary,443,NA,443
2021-2022,136,Chesapeake City,50,George W. Carver Intermediate,511,NA,511
2021-2022,136,Chesapeake City,820,Georgetown Primary,711,NA,711
2021-2022,136,Chesapeake City,950,Grassfield Elementary,1283,NA,1283
2021-2022,136,Chesapeake City,960,Grassfield High,2294,NA,2294
2021-2022,136,Chesapeake City,120,Great Bridge High,1640,NA,1640
2021-2022,136,Chesapeake City,850,Great Bridge Intermediate,681,NA,681
2021-2022,136,Chesapeake City,590,Great Bridge Middle,1206,NA,1206
2021-2022,136,Chesapeake City,680,Great Bridge Primary,664,NA,664
2021-2022,136,Chesapeake City,870,Greenbrier Intermediate,622,NA,622
2021-2022,136,Chesapeake City,972,Greenbrier Middle,846,NA,846
2021-2022,136,Chesapeake City,140,Greenbrier Primary,676,NA,676
2021-2022,136,Chesapeake City,340,Hickory Elementary,563,NA,563
2021-2022,136,Chesapeake City,890,Hickory High,1614,NA,1614
2021-2022,136,Chesapeake City,280,Hickory Middle,1333,NA,1333
2021-2022,136,Chesapeake City,920,Hugo A. Owens Middle,1319,NA,1319
2021-2022,136,Chesapeake City,830,Indian River High,1695,NA,1695
2021-2022,136,Chesapeake City,710,Indian River Middle,743,NA,743
2021-2022,136,Chesapeake City,973,Jolliff Middle,698,NA,698
2021-2022,136,Chesapeake City,160,Norfolk Highlands Primary,273,NA,273
2021-2022,136,Chesapeake City,80,Oscar F. Smith High,2268,NA,2268
2021-2022,136,Chesapeake City,10,Oscar Smith Middle,1028,NA,1028
2021-2022,136,Chesapeake City,730,Portlock Primary,583,NA,583
2021-2022,136,Chesapeake City,200,Rena B. Wright Primary,293,NA,293
2021-2022,136,Chesapeake City,620,Southeastern Elementary,828,NA,828
2021-2022,136,Chesapeake City,600,Southwestern Elementary,548,NA,548
2021-2022,136,Chesapeake City,750,Sparrow Road Intermediate,479,NA,479
2021-2022,136,Chesapeake City,40,Thurgood Marshall Elementary,430,NA,430
