school_year,division_number,division_name,school_number,school_name,sanction_code,sanction_description,n_sanctions,n_students_sanctioned,locality_grouping,region_name,region_number
2023-2024,53,Loudoun County,1030,Madison's Trust Elementary,LOP,Loss of School Privileges or Participation in Extr,4,4,school,Northern Virginia,4
2023-2024,53,Loudoun County,1030,Madison's Trust Elementary,OSS,Out of school suspension by School Admin,4,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,1030,Madison's Trust Elementary,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,70,Meadowland Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,70,Meadowland Elementary,ISS,In-School Suspension (1/2 day or more),2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,70,Meadowland Elementary,LOP,Loss of School Privileges or Participation in Extr,23,18,school,Northern Virginia,4
2023-2024,53,Loudoun County,70,Meadowland Elementary,OSS,Out of school suspension by School Admin,2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,320,Mercer Middle,CR,Class Removal (less than 1/2 day),51,39,school,Northern Virginia,4
2023-2024,53,Loudoun County,320,Mercer Middle,DS,Detention Sanction Outside of Regular School Hours,25,24,school,Northern Virginia,4
2023-2024,53,Loudoun County,320,Mercer Middle,ISS,In-School Suspension (1/2 day or more),140,91,school,Northern Virginia,4
2023-2024,53,Loudoun County,320,Mercer Middle,LOP,Loss of School Privileges or Participation in Extr,45,40,school,Northern Virginia,4
2023-2024,53,Loudoun County,320,Mercer Middle,OSS,Out of school suspension by School Admin,12,6,school,Northern Virginia,4
2023-2024,53,Loudoun County,320,Mercer Middle,SBP,Suspension of Bus Privileges,3,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,1200,Middleburg Community Charter,CR,Class Removal (less than 1/2 day),8,7,school,Northern Virginia,4
2023-2024,53,Loudoun County,1200,Middleburg Community Charter,ISS,In-School Suspension (1/2 day or more),21,12,school,Northern Virginia,4
2023-2024,53,Loudoun County,1200,Middleburg Community Charter,LOP,Loss of School Privileges or Participation in Extr,4,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,1200,Middleburg Community Charter,OSS,Out of school suspension by School Admin,10,6,school,Northern Virginia,4
2023-2024,53,Loudoun County,910,Mill Run Elementary,ISS,In-School Suspension (1/2 day or more),5,4,school,Northern Virginia,4
2023-2024,53,Loudoun County,910,Mill Run Elementary,LOP,Loss of School Privileges or Participation in Extr,13,13,school,Northern Virginia,4
2023-2024,53,Loudoun County,910,Mill Run Elementary,OSS,Out of school suspension by School Admin,6,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,380,Moorefield Station Elementary,CR,Class Removal (less than 1/2 day),18,15,school,Northern Virginia,4
2023-2024,53,Loudoun County,380,Moorefield Station Elementary,ISS,In-School Suspension (1/2 day or more),20,14,school,Northern Virginia,4
2023-2024,53,Loudoun County,380,Moorefield Station Elementary,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,380,Moorefield Station Elementary,OSS,Out of school suspension by School Admin,4,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,380,Moorefield Station Elementary,SBP,Suspension of Bus Privileges,2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,980,Mountain View Elementary,CR,Class Removal (less than 1/2 day),2,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,980,Mountain View Elementary,ISS,In-School Suspension (1/2 day or more),7,5,school,Northern Virginia,4
2023-2024,53,Loudoun County,980,Mountain View Elementary,LOP,Loss of School Privileges or Participation in Extr,8,7,school,Northern Virginia,4
2023-2024,53,Loudoun County,980,Mountain View Elementary,OSS,Out of school suspension by School Admin,4,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,270,Newton-Lee Elementary,CR,Class Removal (less than 1/2 day),27,9,school,Northern Virginia,4
2023-2024,53,Loudoun County,270,Newton-Lee Elementary,ISS,In-School Suspension (1/2 day or more),19,14,school,Northern Virginia,4
2023-2024,53,Loudoun County,270,Newton-Lee Elementary,LOP,Loss of School Privileges or Participation in Extr,40,28,school,Northern Virginia,4
2023-2024,53,Loudoun County,270,Newton-Lee Elementary,OSS,Out of school suspension by School Admin,12,6,school,Northern Virginia,4
2023-2024,53,Loudoun County,270,Newton-Lee Elementary,SBP,Suspension of Bus Privileges,4,4,school,Northern Virginia,4
2023-2024,53,Loudoun County,60,Park View High,ALT,Alternative Program Placement by Division Admin,7,7,school,Northern Virginia,4
2023-2024,53,Loudoun County,60,Park View High,DS,Detention Sanction Outside of Regular School Hours,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,60,Park View High,ISS,In-School Suspension (1/2 day or more),57,38,school,Northern Virginia,4
2023-2024,53,Loudoun County,60,Park View High,OSS,Out of school suspension by Division Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,60,Park View High,OSS,Out of school suspension by School Admin,63,42,school,Northern Virginia,4
2023-2024,53,Loudoun County,60,Park View High,SBCS,School-based Community Service Assigned,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,60,Park View High,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,340,Pinebrook Elementary,CR,Class Removal (less than 1/2 day),13,10,school,Northern Virginia,4
2023-2024,53,Loudoun County,340,Pinebrook Elementary,DS,Detention Sanction Outside of Regular School Hours,3,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,340,Pinebrook Elementary,ISS,In-School Suspension (1/2 day or more),7,6,school,Northern Virginia,4
2023-2024,53,Loudoun County,340,Pinebrook Elementary,LOP,Loss of School Privileges or Participation in Extr,24,21,school,Northern Virginia,4
2023-2024,53,Loudoun County,340,Pinebrook Elementary,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,140,Potomac Falls High,CR,Class Removal (less than 1/2 day),13,12,school,Northern Virginia,4
2023-2024,53,Loudoun County,140,Potomac Falls High,DS,Detention Sanction Outside of Regular School Hours,2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,140,Potomac Falls High,ISS,In-School Suspension (1/2 day or more),201,101,school,Northern Virginia,4
2023-2024,53,Loudoun County,140,Potomac Falls High,LOP,Loss of School Privileges or Participation in Extr,34,21,school,Northern Virginia,4
2023-2024,53,Loudoun County,140,Potomac Falls High,OSS,Out of school suspension by School Admin,38,23,school,Northern Virginia,4
2023-2024,53,Loudoun County,140,Potomac Falls High,SBCS,School-based Community Service Assigned,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,140,Potomac Falls High,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,250,Potowmack Elementary,ISS,In-School Suspension (1/2 day or more),1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,250,Potowmack Elementary,OSS,Out of school suspension by School Admin,31,14,school,Northern Virginia,4
2023-2024,53,Loudoun County,930,River Bend Middle,ALT,Alternative Program Placement by Division Admin,2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,930,River Bend Middle,CR,Class Removal (less than 1/2 day),158,73,school,Northern Virginia,4
2023-2024,53,Loudoun County,930,River Bend Middle,DS,Detention Sanction Outside of Regular School Hours,355,143,school,Northern Virginia,4
2023-2024,53,Loudoun County,930,River Bend Middle,ISS,In-School Suspension (1/2 day or more),161,77,school,Northern Virginia,4
2023-2024,53,Loudoun County,930,River Bend Middle,LOP,Loss of School Privileges or Participation in Extr,212,128,school,Northern Virginia,4
2023-2024,53,Loudoun County,930,River Bend Middle,OSS,Out of school suspension by Division Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,930,River Bend Middle,OSS,Out of school suspension by School Admin,40,30,school,Northern Virginia,4
2023-2024,53,Loudoun County,930,River Bend Middle,SBCS,School-based Community Service Assigned,2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,930,River Bend Middle,SBP,Suspension of Bus Privileges,21,17,school,Northern Virginia,4
2023-2024,53,Loudoun County,1050,Riverside High,CR,Class Removal (less than 1/2 day),2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,1050,Riverside High,DS,Detention Sanction Outside of Regular School Hours,453,179,school,Northern Virginia,4
2023-2024,53,Loudoun County,1050,Riverside High,ISS,In-School Suspension (1/2 day or more),66,40,school,Northern Virginia,4
2023-2024,53,Loudoun County,1050,Riverside High,OSS,Out of school suspension by School Admin,15,13,school,Northern Virginia,4
2023-2024,53,Loudoun County,1060,Rock Ridge High,ALT,Alternative Program Placement by Division Admin,2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,1060,Rock Ridge High,CR,Class Removal (less than 1/2 day),1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,1060,Rock Ridge High,DS,Detention Sanction Outside of Regular School Hours,53,45,school,Northern Virginia,4
2023-2024,53,Loudoun County,1060,Rock Ridge High,ISS,In-School Suspension (1/2 day or more),52,46,school,Northern Virginia,4
2023-2024,53,Loudoun County,1060,Rock Ridge High,OSS,Out of school suspension by School Admin,44,33,school,Northern Virginia,4
2023-2024,53,Loudoun County,1060,Rock Ridge High,SBP,Suspension of Bus Privileges,3,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,40,Rolling Ridge Elementary,CR,Class Removal (less than 1/2 day),24,14,school,Northern Virginia,4
2023-2024,53,Loudoun County,40,Rolling Ridge Elementary,ISS,In-School Suspension (1/2 day or more),4,4,school,Northern Virginia,4
2023-2024,53,Loudoun County,40,Rolling Ridge Elementary,LOP,Loss of School Privileges or Participation in Extr,9,8,school,Northern Virginia,4
2023-2024,53,Loudoun County,40,Rolling Ridge Elementary,OSS,Out of school suspension by School Admin,6,5,school,Northern Virginia,4
2023-2024,53,Loudoun County,550,Rosa Lee Carter Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,550,Rosa Lee Carter Elementary,ISS,In-School Suspension (1/2 day or more),3,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,550,Rosa Lee Carter Elementary,LOP,Loss of School Privileges or Participation in Extr,4,4,school,Northern Virginia,4
2023-2024,53,Loudoun County,180,Round Hill Elementary,CR,Class Removal (less than 1/2 day),5,5,school,Northern Virginia,4
2023-2024,53,Loudoun County,180,Round Hill Elementary,ISS,In-School Suspension (1/2 day or more),4,4,school,Northern Virginia,4
2023-2024,53,Loudoun County,180,Round Hill Elementary,LOP,Loss of School Privileges or Participation in Extr,4,4,school,Northern Virginia,4
2023-2024,53,Loudoun County,180,Round Hill Elementary,OSS,Out of school suspension by School Admin,3,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,240,Sanders Corner Elementary,CR,Class Removal (less than 1/2 day),10,10,school,Northern Virginia,4
2023-2024,53,Loudoun County,240,Sanders Corner Elementary,ISS,In-School Suspension (1/2 day or more),3,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,240,Sanders Corner Elementary,OSS,Out of school suspension by School Admin,5,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,240,Sanders Corner Elementary,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,870,Seldens Landing Elementary,CR,Class Removal (less than 1/2 day),11,7,school,Northern Virginia,4
2023-2024,53,Loudoun County,870,Seldens Landing Elementary,ISS,In-School Suspension (1/2 day or more),6,4,school,Northern Virginia,4
2023-2024,53,Loudoun County,870,Seldens Landing Elementary,LOP,Loss of School Privileges or Participation in Extr,27,19,school,Northern Virginia,4
2023-2024,53,Loudoun County,870,Seldens Landing Elementary,OSS,Out of school suspension by School Admin,3,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,870,Seldens Landing Elementary,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,30,Seneca Ridge Middle,ALT,Alternative Program Placement by Division Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,30,Seneca Ridge Middle,CR,Class Removal (less than 1/2 day),64,47,school,Northern Virginia,4
2023-2024,53,Loudoun County,30,Seneca Ridge Middle,DS,Detention Sanction Outside of Regular School Hours,25,20,school,Northern Virginia,4
2023-2024,53,Loudoun County,30,Seneca Ridge Middle,ISS,In-School Suspension (1/2 day or more),42,32,school,Northern Virginia,4
2023-2024,53,Loudoun County,30,Seneca Ridge Middle,LOP,Loss of School Privileges or Participation in Extr,208,123,school,Northern Virginia,4
2023-2024,53,Loudoun County,30,Seneca Ridge Middle,OSS,Out of school suspension by Division Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,30,Seneca Ridge Middle,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,30,Seneca Ridge Middle,SBCS,School-based Community Service Assigned,2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,30,Seneca Ridge Middle,SBP,Suspension of Bus Privileges,2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,90,Smart's Mill Middle,ALT,Alternative Program Placement by Division Admin,2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,90,Smart's Mill Middle,CR,Class Removal (less than 1/2 day),27,21,school,Northern Virginia,4
2023-2024,53,Loudoun County,90,Smart's Mill Middle,DS,Detention Sanction Outside of Regular School Hours,76,59,school,Northern Virginia,4
2023-2024,53,Loudoun County,90,Smart's Mill Middle,ISS,In-School Suspension (1/2 day or more),155,92,school,Northern Virginia,4
2023-2024,53,Loudoun County,90,Smart's Mill Middle,LOP,Loss of School Privileges or Participation in Extr,176,116,school,Northern Virginia,4
2023-2024,53,Loudoun County,90,Smart's Mill Middle,OSS,Out of school suspension by School Admin,23,19,school,Northern Virginia,4
2023-2024,53,Loudoun County,90,Smart's Mill Middle,SBP,Suspension of Bus Privileges,7,7,school,Northern Virginia,4
2023-2024,53,Loudoun County,690,Sterling Elementary,CR,Class Removal (less than 1/2 day),30,21,school,Northern Virginia,4
2023-2024,53,Loudoun County,690,Sterling Elementary,ISS,In-School Suspension (1/2 day or more),26,16,school,Northern Virginia,4
2023-2024,53,Loudoun County,690,Sterling Elementary,OSS,Out of school suspension by School Admin,2,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,760,Sterling Middle,ALT,Alternative Program Placement by Division Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,760,Sterling Middle,CR,Class Removal (less than 1/2 day),33,29,school,Northern Virginia,4
2023-2024,53,Loudoun County,760,Sterling Middle,DS,Detention Sanction Outside of Regular School Hours,192,114,school,Northern Virginia,4
2023-2024,53,Loudoun County,760,Sterling Middle,ISS,In-School Suspension (1/2 day or more),160,98,school,Northern Virginia,4
2023-2024,53,Loudoun County,760,Sterling Middle,LOP,Loss of School Privileges or Participation in Extr,206,138,school,Northern Virginia,4
2023-2024,53,Loudoun County,760,Sterling Middle,OSS,Out of school suspension by Division Admin,2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,760,Sterling Middle,OSS,Out of school suspension by School Admin,104,71,school,Northern Virginia,4
2023-2024,53,Loudoun County,760,Sterling Middle,SBCS,School-based Community Service Assigned,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,350,Steuart W. Weller Elementary,CR,Class Removal (less than 1/2 day),9,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,350,Steuart W. Weller Elementary,ISS,In-School Suspension (1/2 day or more),5,4,school,Northern Virginia,4
2023-2024,53,Loudoun County,350,Steuart W. Weller Elementary,LOP,Loss of School Privileges or Participation in Extr,83,50,school,Northern Virginia,4
2023-2024,53,Loudoun County,350,Steuart W. Weller Elementary,OSS,Out of school suspension by School Admin,3,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,350,Steuart W. Weller Elementary,SBP,Suspension of Bus Privileges,4,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,850,Stone Bridge High,ALT,Alternative Program Placement by Division Admin,3,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,850,Stone Bridge High,CR,Class Removal (less than 1/2 day),2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,850,Stone Bridge High,DS,Detention Sanction Outside of Regular School Hours,128,99,school,Northern Virginia,4
2023-2024,53,Loudoun County,850,Stone Bridge High,ISS,In-School Suspension (1/2 day or more),66,54,school,Northern Virginia,4
2023-2024,53,Loudoun County,850,Stone Bridge High,LOP,Loss of School Privileges or Participation in Extr,55,39,school,Northern Virginia,4
2023-2024,53,Loudoun County,850,Stone Bridge High,OSS,Out of school suspension by Division Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,850,Stone Bridge High,OSS,Out of school suspension by School Admin,14,9,school,Northern Virginia,4
2023-2024,53,Loudoun County,850,Stone Bridge High,SBCS,School-based Community Service Assigned,2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,570,Stone Hill Middle,ALT,Alternative Program Placement by Division Admin,3,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,570,Stone Hill Middle,CR,Class Removal (less than 1/2 day),26,21,school,Northern Virginia,4
2023-2024,53,Loudoun County,570,Stone Hill Middle,DS,Detention Sanction Outside of Regular School Hours,8,8,school,Northern Virginia,4
2023-2024,53,Loudoun County,570,Stone Hill Middle,ISS,In-School Suspension (1/2 day or more),190,104,school,Northern Virginia,4
2023-2024,53,Loudoun County,570,Stone Hill Middle,LOP,Loss of School Privileges or Participation in Extr,37,33,school,Northern Virginia,4
2023-2024,53,Loudoun County,570,Stone Hill Middle,OSS,Out of school suspension by Division Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,570,Stone Hill Middle,OSS,Out of school suspension by School Admin,29,17,school,Northern Virginia,4
2023-2024,53,Loudoun County,570,Stone Hill Middle,SBP,Suspension of Bus Privileges,10,7,school,Northern Virginia,4
2023-2024,53,Loudoun County,10,Sugarland Elementary,CR,Class Removal (less than 1/2 day),2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,10,Sugarland Elementary,LOP,Loss of School Privileges or Participation in Extr,15,13,school,Northern Virginia,4
2023-2024,53,Loudoun County,10,Sugarland Elementary,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,750,Sully Elementary,CR,Class Removal (less than 1/2 day),8,8,school,Northern Virginia,4
2023-2024,53,Loudoun County,750,Sully Elementary,ISS,In-School Suspension (1/2 day or more),5,4,school,Northern Virginia,4
2023-2024,53,Loudoun County,750,Sully Elementary,LOP,Loss of School Privileges or Participation in Extr,18,10,school,Northern Virginia,4
2023-2024,53,Loudoun County,750,Sully Elementary,OSS,Out of school suspension by School Admin,7,4,school,Northern Virginia,4
2023-2024,53,Loudoun County,280,Sycolin Creek Elementary,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,280,Sycolin Creek Elementary,OSS,Out of school suspension by School Admin,3,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,620,The North Star School,ALT,Alternative Program Placement by Division Admin,6,5,school,Northern Virginia,4
2023-2024,53,Loudoun County,620,The North Star School,ISS,In-School Suspension (1/2 day or more),109,52,school,Northern Virginia,4
2023-2024,53,Loudoun County,620,The North Star School,OSS,Out of school suspension by Division Admin,2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,620,The North Star School,OSS,Out of school suspension by School Admin,38,24,school,Northern Virginia,4
2023-2024,53,Loudoun County,1040,Trailside Middle,CR,Class Removal (less than 1/2 day),15,12,school,Northern Virginia,4
2023-2024,53,Loudoun County,1040,Trailside Middle,DS,Detention Sanction Outside of Regular School Hours,89,65,school,Northern Virginia,4
2023-2024,53,Loudoun County,1040,Trailside Middle,ISS,In-School Suspension (1/2 day or more),75,50,school,Northern Virginia,4
2023-2024,53,Loudoun County,1040,Trailside Middle,LOP,Loss of School Privileges or Participation in Extr,162,94,school,Northern Virginia,4
2023-2024,53,Loudoun County,1040,Trailside Middle,OSS,Out of school suspension by School Admin,6,5,school,Northern Virginia,4
2023-2024,53,Loudoun County,1040,Trailside Middle,SBCS,School-based Community Service Assigned,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,1040,Trailside Middle,SBP,Suspension of Bus Privileges,10,6,school,Northern Virginia,4
2023-2024,53,Loudoun County,200,Tuscarora High,ALT,Alternative Program Placement by Division Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,200,Tuscarora High,DS,Detention Sanction Outside of Regular School Hours,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,200,Tuscarora High,ISS,In-School Suspension (1/2 day or more),105,80,school,Northern Virginia,4
2023-2024,53,Loudoun County,200,Tuscarora High,LOP,Loss of School Privileges or Participation in Extr,5,5,school,Northern Virginia,4
2023-2024,53,Loudoun County,200,Tuscarora High,OSS,Out of school suspension by Division Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,200,Tuscarora High,OSS,Out of school suspension by School Admin,36,32,school,Northern Virginia,4
2023-2024,53,Loudoun County,531,Virtual Distance Learning,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,532,W.O. Robey High,CR,Class Removal (less than 1/2 day),4,4,school,Northern Virginia,4
2023-2024,53,Loudoun County,532,W.O. Robey High,ISS,In-School Suspension (1/2 day or more),1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,532,W.O. Robey High,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,700,Waterford Elementary,ISS,In-School Suspension (1/2 day or more),3,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,700,Waterford Elementary,LOP,Loss of School Privileges or Participation in Extr,2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,700,Waterford Elementary,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,1140,Waxpool Elementary,CR,Class Removal (less than 1/2 day),2,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,1140,Waxpool Elementary,ISS,In-School Suspension (1/2 day or more),3,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,1140,Waxpool Elementary,LOP,Loss of School Privileges or Participation in Extr,4,4,school,Northern Virginia,4
2023-2024,53,Loudoun County,1140,Waxpool Elementary,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,1140,Waxpool Elementary,SBP,Suspension of Bus Privileges,3,2,school,Northern Virginia,4
2023-2024,53,Loudoun County,360,Willard Middle,CR,Class Removal (less than 1/2 day),23,19,school,Northern Virginia,4
2023-2024,53,Loudoun County,360,Willard Middle,DS,Detention Sanction Outside of Regular School Hours,6,6,school,Northern Virginia,4
2023-2024,53,Loudoun County,360,Willard Middle,ISS,In-School Suspension (1/2 day or more),63,54,school,Northern Virginia,4
2023-2024,53,Loudoun County,360,Willard Middle,LOP,Loss of School Privileges or Participation in Extr,165,122,school,Northern Virginia,4
2023-2024,53,Loudoun County,360,Willard Middle,OSS,Out of school suspension by School Admin,3,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,360,Willard Middle,SBP,Suspension of Bus Privileges,3,3,school,Northern Virginia,4
2023-2024,53,Loudoun County,590,Woodgrove High,ALT,Alternative Program Placement by Division Admin,1,1,school,Northern Virginia,4
2023-2024,53,Loudoun County,590,Woodgrove High,CR,Class Removal (less than 1/2 day),9,7,school,Northern Virginia,4
2023-2024,53,Loudoun County,590,Woodgrove High,DS,Detention Sanction Outside of Regular School Hours,200,116,school,Northern Virginia,4
2023-2024,53,Loudoun County,590,Woodgrove High,ISS,In-School Suspension (1/2 day or more),113,64,school,Northern Virginia,4
2023-2024,53,Loudoun County,590,Woodgrove High,OSS,Out of school suspension by School Admin,12,9,school,Northern Virginia,4
2023-2024,53,Loudoun County,NA,NA,ALT,Alternative Program Placement by Division Admin,57,56,division,Northern Virginia,4
2023-2024,53,Loudoun County,NA,NA,CR,Class Removal (less than 1/2 day),1567,1030,division,Northern Virginia,4
2023-2024,53,Loudoun County,NA,NA,DS,Detention Sanction Outside of Regular School Hours,3163,1775,division,Northern Virginia,4
2023-2024,53,Loudoun County,NA,NA,ISS,In-School Suspension (1/2 day or more),4101,2634,division,Northern Virginia,4
2023-2024,53,Loudoun County,NA,NA,LOP,Loss of School Privileges or Participation in Extr,3310,2219,division,Northern Virginia,4
2023-2024,53,Loudoun County,NA,NA,OSS,Out of school suspension by Division Admin,19,19,division,Northern Virginia,4
2023-2024,53,Loudoun County,NA,NA,OSS,Out of school suspension by School Admin,1091,735,division,Northern Virginia,4
2023-2024,53,Loudoun County,NA,NA,SBCS,School-based Community Service Assigned,20,18,division,Northern Virginia,4
2023-2024,53,Loudoun County,NA,NA,SBP,Suspension of Bus Privileges,200,167,division,Northern Virginia,4
2023-2024,54,Louisa County,660,Jouett Elementary,ISS,In-School Suspension (1/2 day or more),133,77,school,Valley,5
2023-2024,54,Louisa County,660,Jouett Elementary,OSS,Out of school suspension by School Admin,25,11,school,Valley,5
2023-2024,54,Louisa County,660,Jouett Elementary,SBP,Suspension of Bus Privileges,33,27,school,Valley,5
2023-2024,54,Louisa County,602,Louisa County High,ALT,Alternative Program Placement by Division Admin,4,4,school,Valley,5
2023-2024,54,Louisa County,602,Louisa County High,ALT,Alternative Program Placement by School Board,2,2,school,Valley,5
2023-2024,54,Louisa County,602,Louisa County High,CR,Class Removal (less than 1/2 day),2,2,school,Valley,5
2023-2024,54,Louisa County,602,Louisa County High,ISS,In-School Suspension (1/2 day or more),198,158,school,Valley,5
2023-2024,54,Louisa County,602,Louisa County High,LOP,Loss of School Privileges or Participation in Extr,34,31,school,Valley,5
2023-2024,54,Louisa County,602,Louisa County High,OSS,Out of school suspension by School Admin,139,107,school,Valley,5
2023-2024,54,Louisa County,602,Louisa County High,SBP,Suspension of Bus Privileges,51,41,school,Valley,5
2023-2024,54,Louisa County,601,Louisa County Middle,ALT,Alternative Program Placement by Division Admin,2,2,school,Valley,5
2023-2024,54,Louisa County,601,Louisa County Middle,ALT,Alternative Program Placement by School Board,1,1,school,Valley,5
2023-2024,54,Louisa County,601,Louisa County Middle,ISS,In-School Suspension (1/2 day or more),329,228,school,Valley,5
2023-2024,54,Louisa County,601,Louisa County Middle,LOP,Loss of School Privileges or Participation in Extr,38,36,school,Valley,5
2023-2024,54,Louisa County,601,Louisa County Middle,OSS,Out of school suspension by School Admin,128,105,school,Valley,5
2023-2024,54,Louisa County,601,Louisa County Middle,OSS,Out of school suspension by School Board,2,2,school,Valley,5
2023-2024,54,Louisa County,601,Louisa County Middle,SBP,Suspension of Bus Privileges,68,60,school,Valley,5
2023-2024,54,Louisa County,80,Moss-Nuckols Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Valley,5
2023-2024,54,Louisa County,80,Moss-Nuckols Elementary,ISS,In-School Suspension (1/2 day or more),128,71,school,Valley,5
2023-2024,54,Louisa County,80,Moss-Nuckols Elementary,LOP,Loss of School Privileges or Participation in Extr,6,6,school,Valley,5
2023-2024,54,Louisa County,80,Moss-Nuckols Elementary,OSS,Out of school suspension by School Admin,18,10,school,Valley,5
2023-2024,54,Louisa County,80,Moss-Nuckols Elementary,SBP,Suspension of Bus Privileges,27,21,school,Valley,5
2023-2024,54,Louisa County,610,Thomas Jefferson Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Valley,5
2023-2024,54,Louisa County,610,Thomas Jefferson Elementary,ISS,In-School Suspension (1/2 day or more),160,90,school,Valley,5
2023-2024,54,Louisa County,610,Thomas Jefferson Elementary,LOP,Loss of School Privileges or Participation in Extr,4,3,school,Valley,5
2023-2024,54,Louisa County,610,Thomas Jefferson Elementary,OSS,Out of school suspension by School Admin,26,16,school,Valley,5
2023-2024,54,Louisa County,610,Thomas Jefferson Elementary,SBP,Suspension of Bus Privileges,67,41,school,Valley,5
2023-2024,54,Louisa County,641,Trevilians Elementary,ISS,In-School Suspension (1/2 day or more),100,55,school,Valley,5
