school_year,division_number,ft_count,pt_count,total_count,locality_grouping,region_name,region_number,division_name,n_disadv_students,school_number,sch_id,school_name
2022-2023,031,1746,4,1750,division,Western Virginia,6,Floyd County,789,NA,NA,NA
2022-2023,032,3439,NA,3439,division,Valley,5,Fluvanna County,1410,NA,NA,NA
2022-2023,135,1023,NA,1023,division,Tidewater,2,Franklin City,667,NA,NA,NA
2022-2023,033,6252,NA,6252,division,Western Virginia,6,Franklin County,3009,NA,NA,NA
2022-2023,034,13960,2,13962,division,Northern Virginia,4,Frederick County,5712,NA,NA,NA
2022-2023,110,3762,NA,3762,division,Northern Neck,3,Fredericksburg City,2015,NA,NA,NA
2022-2023,111,1393,1,1394,division,Southwest,7,Galax City,855,NA,NA,NA
2022-2023,035,3460,2,3462,division,Southwest,7,Giles County,1447,NA,NA,NA
2022-2023,036,5059,34,5093,division,Northern Neck,3,Gloucester County,2112,NA,NA,NA
2022-2023,037,2643,NA,2643,division,Central Virginia,1,Goochland County,820,NA,NA,NA
2022-2023,038,1561,NA,1561,division,Southwest,7,Grayson County,965,NA,NA,NA
2022-2023,039,2838,NA,2838,division,Valley,5,Greene County,1306,NA,NA,NA
2022-2023,040,2034,NA,2034,division,Southside,8,Greensville County,1176,NA,NA,NA
2022-2023,041,4621,4,4625,division,Southside,8,Halifax County,2666,NA,NA,NA
2022-2023,112,19796,NA,19796,division,Tidewater,2,Hampton City,10459,NA,NA,NA
2022-2023,042,17066,NA,17066,division,Central Virginia,1,Hanover County,5108,NA,NA,NA
2022-2023,113,6682,2,6684,division,Valley,5,Harrisonburg City,3404,NA,NA,NA
2022-2023,043,50389,NA,50389,division,Central Virginia,1,Henrico County,22185,NA,NA,NA
2022-2023,044,7010,NA,7010,division,Western Virginia,6,Henry County,4790,NA,NA,NA
2022-2023,045,200,NA,200,division,Valley,5,Highland County,88,NA,NA,NA
2022-2023,114,3984,1,3985,division,Central Virginia,1,Hopewell City,3636,NA,NA,NA
2022-2023,046,5627,2,5629,division,Tidewater,2,Isle of Wight County,2019,NA,NA,NA
2022-2023,048,4521,NA,4521,division,Northern Neck,3,King George County,1514,NA,NA,NA
2022-2023,050,2084,NA,2084,division,Northern Neck,3,King William County,728,NA,NA,NA
2022-2023,049,858,NA,858,division,Northern Neck,3,King and Queen County,515,NA,NA,NA
2022-2023,051,1039,NA,1039,division,Northern Neck,3,Lancaster County,658,NA,NA,NA
2022-2023,052,2949,NA,2949,division,Southwest,7,Lee County,1959,NA,NA,NA
2022-2023,137,487,NA,487,division,Valley,5,Lexington City,139,NA,NA,NA
2022-2023,053,81746,336,82082,division,Northern Virginia,4,Loudoun County,19832,NA,NA,NA
2022-2023,054,5173,NA,5173,division,Valley,5,Louisa County,2138,NA,NA,NA
2022-2023,055,1575,NA,1575,division,Southside,8,Lunenburg County,977,NA,NA,NA
2022-2023,115,7856,47,7903,division,Valley,5,Lynchburg City,4983,NA,NA,NA
2022-2023,056,1680,3,1683,division,Northern Virginia,4,Madison County,784,NA,NA,NA
2022-2023,143,7418,293,7711,division,Northern Virginia,4,Manassas City,3435,NA,NA,NA
2022-2023,144,3434,NA,3434,division,Northern Virginia,4,Manassas Park City,1665,NA,NA,NA
2022-2023,116,1810,NA,1810,division,Western Virginia,6,Martinsville City,1372,NA,NA,NA
2022-2023,057,911,NA,911,division,Northern Neck,3,Mathews County,424,NA,NA,NA
2022-2023,058,3972,1,3973,division,Southside,8,Mecklenburg County,2478,NA,NA,NA
2022-2023,059,1244,NA,1244,division,Northern Neck,3,Middlesex County,790,NA,NA,NA
2022-2023,060,9730,NA,9730,division,Western Virginia,6,Montgomery County,3845,NA,NA,NA
2022-2023,062,1480,NA,1480,division,Valley,5,Nelson County,927,NA,NA,NA
2022-2023,063,3436,NA,3436,division,Central Virginia,1,New Kent County,831,NA,NA,NA
2022-2023,117,26558,4,26562,division,Tidewater,2,Newport News City,16923,NA,NA,NA
2022-2023,118,27309,NA,27309,division,Tidewater,2,Norfolk City,16640,NA,NA,NA
2022-2023,065,1359,NA,1359,division,Tidewater,2,Northampton County,963,NA,NA,NA
2022-2023,066,1200,NA,1200,division,Northern Neck,3,Northumberland County,726,NA,NA,NA
2022-2023,119,815,NA,815,division,Southwest,7,Norton City,441,NA,NA,NA
2022-2023,067,1811,NA,1811,division,Southside,8,Nottoway County,1217,NA,NA,NA
2022-2023,068,5041,1,5042,division,Northern Virginia,4,Orange County,2223,NA,NA,NA
2022-2023,069,3031,2,3033,division,Northern Virginia,4,Page County,1507,NA,NA,NA
2022-2023,070,2482,NA,2482,division,Western Virginia,6,Patrick County,1201,NA,NA,NA
2022-2023,120,4272,NA,4272,division,Central Virginia,1,Petersburg City,3670,NA,NA,NA
2022-2023,071,7918,1,7919,division,Western Virginia,6,Pittsylvania County,3646,NA,NA,NA
2022-2023,142,2055,30,2085,division,Tidewater,2,Poquoson City,476,NA,NA,NA
2022-2023,121,13371,NA,13371,division,Tidewater,2,Portsmouth City,8975,NA,NA,NA
2022-2023,072,4241,10,4251,division,Central Virginia,1,Powhatan County,1162,NA,NA,NA
2022-2023,073,1887,2,1889,division,Southside,8,Prince Edward County,932,NA,NA,NA
2022-2023,074,6106,NA,6106,division,Central Virginia,1,Prince George County,3280,NA,NA,NA
2022-2023,075,91166,14,91180,division,Northern Virginia,4,Prince William County,37794,NA,NA,NA
2022-2023,077,3988,NA,3988,division,Southwest,7,Pulaski County,2065,NA,NA,NA
2022-2023,122,3690,NA,3690,division,Southwest,7,Radford City,1596,NA,NA,NA
2022-2023,078,735,1,736,division,Northern Virginia,4,Rappahannock County,298,NA,NA,NA
2022-2023,123,21705,NA,21705,division,Central Virginia,1,Richmond City,14830,NA,NA,NA
2022-2023,079,1346,NA,1346,division,Northern Neck,3,Richmond County,690,NA,NA,NA
2022-2023,124,13636,71,13707,division,Western Virginia,6,Roanoke City,8295,NA,NA,NA
2022-2023,080,13818,1,13819,division,Western Virginia,6,Roanoke County,4863,NA,NA,NA
2022-2023,081,2548,2,2550,division,Valley,5,Rockbridge County,1355,NA,NA,NA
2022-2023,082,11504,12,11516,division,Valley,5,Rockingham County,5502,NA,NA,NA
2022-2023,083,3375,NA,3375,division,Southwest,7,Russell County,2155,NA,NA,NA
2022-2023,139,3750,NA,3750,division,Western Virginia,6,Salem City,1707,NA,NA,NA
2022-2023,084,4026,2,4028,division,Southwest,7,Scott County,2323,NA,NA,NA
2022-2023,085,5630,NA,5630,division,Northern Virginia,4,Shenandoah County,2786,NA,NA,NA
2022-2023,086,3983,NA,3983,division,Southwest,7,Smyth County,2266,NA,NA,NA
2022-2023,087,2579,NA,2579,division,Tidewater,2,Southampton County,1154,NA,NA,NA
2022-2023,088,24216,44,24260,division,Northern Neck,3,Spotsylvania County,11816,NA,NA,NA
2022-2023,089,31145,15,31160,division,Northern Neck,3,Stafford County,11654,NA,NA,NA
2022-2023,126,2695,NA,2695,division,Valley,5,Staunton City,794,NA,NA,NA
2022-2023,127,14490,NA,14490,division,Tidewater,2,Suffolk City,5837,NA,NA,NA
2022-2023,090,685,NA,685,division,Central Virginia,1,Surry County,392,NA,NA,NA
2022-2023,091,998,NA,998,division,Central Virginia,1,Sussex County,710,NA,NA,NA
2022-2023,092,5422,NA,5422,division,Southwest,7,Tazewell County,3213,NA,NA,NA
2022-2023,128,65550,NA,65550,division,Tidewater,2,Virginia Beach City,30111,NA,NA,NA
2022-2023,093,5168,2,5170,division,Northern Virginia,4,Warren County,2269,NA,NA,NA
2022-2023,094,6742,3,6745,division,Southwest,7,Washington County,3595,NA,NA,NA
2022-2023,130,3042,1,3043,division,Valley,5,Waynesboro City,1991,NA,NA,NA
2022-2023,207,810,NA,810,division,Northern Neck,3,West Point,332,NA,NA,NA
2022-2023,095,1561,NA,1561,division,Northern Neck,3,Westmoreland County,1029,NA,NA,NA
2022-2023,131,11387,255,11642,division,Tidewater,2,James City County,4081,NA,NA,NA
