label,locality_grouping,name,value
Forest Middle,school,pct_disadv,18.149882903981265
Forest Middle,school,staff_per_1k_students,3.51288056206089
Jefferson Forest High,school,pct_disadv,19.65678627145086
Jefferson Forest High,school,staff_per_1k_students,3.1201248049921997
Liberty High — Bedford County,school,pct_disadv,41.94915254237288
Liberty High — Bedford County,school,staff_per_1k_students,4.237288135593221
Liberty Middle — Bedford County,school,pct_disadv,53.28185328185329
Liberty Middle — Bedford County,school,staff_per_1k_students,3.8610038610038617
Staunton River High,school,pct_disadv,39.48655256723717
Staunton River High,school,staff_per_1k_students,3.667481662591687
Staunton River Middle,school,pct_disadv,45.26143790849673
Staunton River Middle,school,staff_per_1k_students,3.2679738562091503
Bland County High,school,pct_disadv,51.25725338491296
Bland County High,school,staff_per_1k_students,1.9342359767891684
Central Academy Middle,school,pct_disadv,32.967032967032964
Central Academy Middle,school,staff_per_1k_students,5.4945054945054945
James River High — Botetourt County,school,pct_disadv,35.12931034482759
James River High — Botetourt County,school,staff_per_1k_students,6.4655172413793105
Lord Botetourt High,school,pct_disadv,27.206645898234683
Lord Botetourt High,school,staff_per_1k_students,4.153686396677051
Read Mountain Middle,school,pct_disadv,33.88059701492537
Read Mountain Middle,school,staff_per_1k_students,2.985074626865672
Virginia High,school,pct_disadv,64.89028213166145
Virginia High,school,staff_per_1k_students,3.134796238244514
Virginia Middle,school,pct_disadv,68.80530973451327
Virginia Middle,school,staff_per_1k_students,2.2123893805309733
Brunswick High,school,pct_disadv,66.58415841584159
Brunswick High,school,staff_per_1k_students,6.806930693069307
James S. Russell Middle,school,pct_disadv,67.36111111111111
James S. Russell Middle,school,staff_per_1k_students,3.472222222222222
Council High,school,pct_disadv,66.95652173913044
Council High,school,staff_per_1k_students,4.3478260869565215
Grundy High,school,pct_disadv,55.39772727272727
Grundy High,school,staff_per_1k_students,2.840909090909091
Hurley High,school,pct_disadv,65.97938144329896
Hurley High,school,staff_per_1k_students,5.154639175257732
Twin Valley High,school,pct_disadv,56.98324022346368
Twin Valley High,school,staff_per_1k_students,5.58659217877095
Buckingham County High,school,pct_disadv,50
Buckingham County High,school,staff_per_1k_students,4.643962848297213
Buckingham County Middle,school,pct_disadv,53.8083538083538
Buckingham County Middle,school,staff_per_1k_students,4.914004914004914
Parry McCluer High,school,pct_disadv,45.714285714285715
Parry McCluer High,school,staff_per_1k_students,3.1746031746031744
Parry McCluer Middle,school,pct_disadv,44.44444444444444
Parry McCluer Middle,school,staff_per_1k_students,15.873015873015872
Altavista High,school,pct_disadv,50.99009900990099
Altavista High,school,staff_per_1k_students,4.9504950495049505
Brookville High,school,pct_disadv,34.21828908554572
Brookville High,school,staff_per_1k_students,2.949852507374631
Brookville Middle,school,pct_disadv,38.58024691358025
Brookville Middle,school,staff_per_1k_students,4.62962962962963
Rustburg High,school,pct_disadv,41.02870813397129
Rustburg High,school,staff_per_1k_students,3.5885167464114835
Rustburg Middle,school,pct_disadv,46.48562300319489
Rustburg Middle,school,staff_per_1k_students,4.792332268370607
William Campbell High,school,pct_disadv,54.166666666666664
William Campbell High,school,staff_per_1k_students,5.208333333333333
Caroline High,school,pct_disadv,42.86803966437834
Caroline High,school,staff_per_1k_students,5.339435545385203
Caroline Middle,school,pct_disadv,42.769857433808554
Caroline Middle,school,staff_per_1k_students,6.109979633401222
Carroll County High,school,pct_disadv,55.60928433268859
Carroll County High,school,staff_per_1k_students,3.3849129593810448
Carroll County Middle,school,pct_disadv,60.10709504685408
Carroll County Middle,school,staff_per_1k_students,3.3467202141900936
Charles City County High,school,pct_disadv,63.348416289592755
Charles City County High,school,staff_per_1k_students,4.524886877828055
Central Middle,school,pct_disadv,51.70603674540683
Central Middle,school,staff_per_1k_students,2.6246719160104988
Randolph-Henry High,school,pct_disadv,46.30434782608695
Randolph-Henry High,school,staff_per_1k_students,6.521739130434782
Charlottesville Middle,school,pct_disadv,56.560283687943254
Charlottesville Middle,school,staff_per_1k_students,16.54255319148936
Charlottesville High,school,pct_disadv,50.24288688410826
Charlottesville High,school,staff_per_1k_students,9.715475364330326
Walker Upper Elementary,school,pct_disadv,52.45614035087719
Walker Upper Elementary,school,staff_per_1k_students,11.403508771929824
Crestwood Middle,school,pct_disadv,45.25939177101968
Crestwood Middle,school,staff_per_1k_students,5.366726296958855
Deep Creek High,school,pct_disadv,37.8680800942285
Deep Creek High,school,staff_per_1k_students,6.478209658421672
Deep Creek Middle,school,pct_disadv,41.2303664921466
Deep Creek Middle,school,staff_per_1k_students,6.544502617801047
Grassfield High,school,pct_disadv,12.45748299319728
Grassfield High,school,staff_per_1k_students,5.1020408163265305
Great Bridge High,school,pct_disadv,19.101876675603215
Great Bridge High,school,staff_per_1k_students,6.702412868632708
Great Bridge Middle,school,pct_disadv,13.64329268292683
Great Bridge Middle,school,staff_per_1k_students,5.335365853658537
Greenbrier Middle,school,pct_disadv,29.96207332490518
Greenbrier Middle,school,staff_per_1k_students,7.585335018963337
Hickory High,school,pct_disadv,10.674157303370784
Hickory High,school,staff_per_1k_students,6.242197253433208
Hickory Middle,school,pct_disadv,13.2295719844358
Hickory Middle,school,staff_per_1k_students,5.447470817120622
Hugo A. Owens Middle,school,pct_disadv,22.981366459627328
Hugo A. Owens Middle,school,staff_per_1k_students,5.434782608695652
Indian River High,school,pct_disadv,43.39622641509434
Indian River High,school,staff_per_1k_students,6.695069993913573
Indian River Middle,school,pct_disadv,52.82258064516129
Indian River Middle,school,staff_per_1k_students,5.376344086021506
Jolliff Middle,school,pct_disadv,33.02387267904509
Jolliff Middle,school,staff_per_1k_students,6.631299734748011
Oscar F. Smith High,school,pct_disadv,50.35273368606702
Oscar F. Smith High,school,staff_per_1k_students,5.731922398589065
Oscar Smith Middle,school,pct_disadv,65.87872559095581
Oscar Smith Middle,school,staff_per_1k_students,7.194244604316547
Western Branch High,school,pct_disadv,32.54079254079254
Western Branch High,school,staff_per_1k_students,5.128205128205129
Western Branch Middle,school,pct_disadv,34.731934731934736
Western Branch Middle,school,staff_per_1k_students,6.993006993006993
Bailey Bridge Middle,school,pct_disadv,37.04939919893191
Bailey Bridge Middle,school,staff_per_1k_students,4.672897196261682
Carver College and Career Academy,school,pct_disadv,69.59706959706959
Carver College and Career Academy,school,staff_per_1k_students,18.315018315018317
Carver Middle,school,pct_disadv,58.39340885684861
Carver Middle,school,staff_per_1k_students,7.209062821833162
Clover Hill High,school,pct_disadv,37.68613974799542
Clover Hill High,school,staff_per_1k_students,4.581901489117985
Cosby High,school,pct_disadv,18.839427662957075
Cosby High,school,staff_per_1k_students,4.372019077901431
Elizabeth Davis Middle,school,pct_disadv,44.47695683979517
Elizabeth Davis Middle,school,staff_per_1k_students,5.120702267739576
Falling Creek Middle,school,pct_disadv,63.96396396396396
Falling Creek Middle,school,staff_per_1k_students,4.851004851004851
James River High — Chesterfield County,school,pct_disadv,36.89636462289745
James River High — Chesterfield County,school,staff_per_1k_students,4.3407487791644055
Lloyd C. Bird High,school,pct_disadv,54.02999062792877
